State,Season,SoilType,N,P,K,Temperature,Humidity,pH,Rainfall,Crop
Bihar,Zaid,Clay,54,49,38,18.2,82,7.6,82,Cucumber
Gujarat,Zaid,Red,44,25,74,29.3,89,7.7,247,Sesame
Arunachal Pradesh,Rabi,Black,79,13,66,20.9,69,7.2,249,Coriander
Assam,Rabi,Loamy,90,67,28,36.5,94,7.6,42,Tur
Arunachal Pradesh,Kharif,Clay,104,42,45,22.4,40,6.7,25,Chilli
Assam,Kharif,Black,59,21,84,23,67,7.9,67,Groundnut
Uttar Pradesh,Zaid,Clay,97,46,35,31.3,46,7.9,239,Sunflower
Himachal Pradesh,Kharif,Alluvial,61,35,26,19.8,57,6.1,184,Cabbage
Tripura,Kharif,Red,93,20,50,26.4,72,6.6,274,Groundnut
Arunachal Pradesh,Kharif,Red,107,59,23,22.9,55,6.5,102,Sugarcane
Kerala,Zaid,Alluvial,100,53,61,21.1,55,6.1,58,Spinach
Manipur,Kharif,Loamy,104,68,11,30.2,61,7.1,146,Peas
Bihar,Rabi,Clay,112,69,55,20.6,95,5.9,151,Coriander
Rajasthan,Zaid,Clay,42,46,17,34.5,88,7.9,261,Wheat
Assam,Kharif,Alluvial,64,80,72,22.6,57,6.1,47,Onion
Uttarakhand,Rabi,Red,42,17,75,18.6,56,6,80,Spinach
Assam,Zaid,Black,91,16,31,19.3,81,6.6,271,Maize
Arunachal Pradesh,Zaid,Clay,55,80,38,35.7,61,7,28,Spinach
Kerala,Kharif,Alluvial,63,80,43,33.6,70,5.7,247,Potato
Meghalaya,Zaid,Red,88,37,87,36.1,86,5.6,138,Groundnut
Jammu and Kashmir,Rabi,Clay,107,12,41,20.4,73,6.2,152,Peas
Assam,Rabi,Red,113,21,16,34.3,33,6.6,161,Bajra
Rajasthan,Rabi,Red,81,11,34,34.3,65,5.6,231,Wheat
Delhi,Rabi,Black,21,67,87,33.2,90,7.3,259,Cauliflower
Punjab,Rabi,Loamy,117,73,74,27.2,64,6.7,254,Cauliflower
Odisha,Kharif,Red,111,77,60,33.1,64,7.2,139,Muskmelon
West Bengal,Rabi,Alluvial,61,32,82,36.7,76,6.5,259,Cotton
Jammu and Kashmir,Kharif,Alluvial,42,52,10,33.8,66,5.9,154,Wheat
Bihar,Kharif,Black,91,37,87,33.2,50,6.2,129,Mustard
Tamil Nadu,Rabi,Red,111,54,61,29.9,31,7.2,158,Onion
Goa,Zaid,Clay,79,56,44,29.7,64,6.4,154,Barley
Nagaland,Zaid,Alluvial,83,53,51,19.3,80,6,256,Sugarcane
Jharkhand,Rabi,Clay,108,76,81,21.5,89,7.8,217,Rice
Jharkhand,Rabi,Clay,105,15,76,28.9,36,7.6,285,Sugarcane
Jharkhand,Rabi,Black,57,24,47,35.1,67,6.9,224,Potato
Uttarakhand,Kharif,Alluvial,78,44,37,37,58,7,38,Soybean
Himachal Pradesh,Zaid,Alluvial,36,15,68,23.5,92,5.6,167,Chilli
Maharashtra,Kharif,Loamy,41,74,47,21.7,79,7.6,226,Mustard
Gujarat,Rabi,Sandy,30,24,44,19.2,94,5.8,288,Brinjal
Odisha,Kharif,Red,99,56,79,33.5,33,6.8,200,Sesame
Odisha,Zaid,Loamy,94,46,21,29.1,52,7.6,291,Ragi
Maharashtra,Rabi,Clay,84,63,12,37.2,66,7.1,39,Brinjal
West Bengal,Zaid,Alluvial,113,57,88,21,37,6.3,151,Rice
Odisha,Kharif,Alluvial,119,26,79,33.1,64,7,83,Gram
Rajasthan,Rabi,Black,54,35,63,18.8,37,6.9,234,Cucumber
Chhattisgarh,Kharif,Alluvial,104,51,41,24.3,91,6.2,237,Tur
Arunachal Pradesh,Rabi,Red,78,31,25,26.2,73,6.7,162,Cucumber
West Bengal,Rabi,Loamy,72,35,36,20.4,30,7.8,237,Soybean
Manipur,Kharif,Black,101,79,89,33.4,30,6.8,59,Tur
Meghalaya,Rabi,Clay,91,12,38,34.1,88,7.4,153,Tomato
Assam,Zaid,Black,40,65,70,31.5,36,6.2,64,Cucumber
Manipur,Zaid,Black,51,80,89,25.9,77,6.8,159,Groundnut
Bihar,Kharif,Black,114,25,30,28,70,7.2,71,Brinjal
Assam,Kharif,Sandy,92,80,79,27.4,90,5.8,78,Soybean
Himachal Pradesh,Zaid,Loamy,96,80,86,22.5,32,7,79,Sesame
Manipur,Rabi,Loamy,97,51,79,37.2,34,6,47,Potato
Sikkim,Zaid,Black,63,59,36,30.1,95,6.5,185,Barley
Meghalaya,Zaid,Sandy,42,52,11,35.9,59,7.2,216,Carrot
Punjab,Kharif,Clay,20,36,72,24.6,80,7.2,82,Barley
Mizoram,Zaid,Red,102,68,52,19.2,43,5.9,107,Sesame
Maharashtra,Zaid,Red,42,76,55,20.5,80,5.6,156,Sesame
Arunachal Pradesh,Zaid,Clay,98,12,50,25.1,62,6.5,76,Barley
Odisha,Zaid,Loamy,64,22,20,24,57,6.8,296,Muskmelon
Maharashtra,Rabi,Black,40,66,56,30,75,6.4,194,Rice
Bihar,Kharif,Alluvial,83,50,79,29.4,80,6.9,105,Watermelon
Goa,Kharif,Loamy,102,36,80,24.1,84,7.8,137,Mustard
Nagaland,Zaid,Clay,111,37,66,34.6,30,6.9,169,Maize
Tamil Nadu,Rabi,Clay,62,15,87,25.5,73,7.1,88,Cotton
Haryana,Kharif,Red,101,39,64,30.2,94,7.8,157,Muskmelon
Kerala,Rabi,Sandy,89,14,13,33.1,70,6.1,126,Maize
Arunachal Pradesh,Rabi,Sandy,55,37,82,29.9,37,7.5,54,Barley
West Bengal,Rabi,Alluvial,33,79,28,32.5,61,6.6,131,Gram
Manipur,Rabi,Sandy,41,18,78,25,45,5.9,64,Onion
Goa,Kharif,Black,33,26,45,35,78,7.4,153,Sesame
Delhi,Kharif,Sandy,33,38,44,37.3,78,8,185,Gram
Arunachal Pradesh,Zaid,Alluvial,82,31,67,24.2,33,7.3,144,Soybean
Manipur,Kharif,Clay,49,50,53,34.5,59,6.8,271,Cauliflower
Chhattisgarh,Zaid,Alluvial,112,42,63,31.3,76,5.6,241,Chilli
West Bengal,Zaid,Red,38,73,62,19.7,63,6.7,83,Brinjal
Meghalaya,Rabi,Black,99,64,39,34.2,73,6.9,238,Gram
Gujarat,Kharif,Loamy,48,73,14,31.8,39,6.3,134,Bajra
Chhattisgarh,Rabi,Clay,120,43,56,22.4,91,7.7,137,Groundnut
Madhya Pradesh,Zaid,Black,67,24,55,31.1,93,6.3,109,Jowar
Jharkhand,Rabi,Alluvial,44,25,83,36.9,93,5.6,30,Cucumber
Andhra Pradesh,Kharif,Black,111,70,47,22.3,48,7,100,Cotton
Nagaland,Kharif,Red,89,57,74,28.6,86,6.4,279,Sesame
Andhra Pradesh,Zaid,Clay,71,35,80,30.1,38,5.9,175,Muskmelon
Jharkhand,Zaid,Sandy,41,43,66,30.6,91,6.6,204,Soybean
Manipur,Kharif,Loamy,50,36,57,19.9,84,6.9,46,Cabbage
Telangana,Zaid,Red,108,74,44,34.2,91,6.5,31,Jowar
Rajasthan,Rabi,Loamy,91,80,47,27.1,43,6.2,276,Onion
Punjab,Rabi,Alluvial,85,44,31,35.6,43,6.8,85,Sunflower
Maharashtra,Kharif,Red,81,28,58,38,70,6.4,216,Soybean
Punjab,Rabi,Black,57,14,68,23.7,56,7,181,Watermelon
Andhra Pradesh,Zaid,Clay,110,73,14,30.7,55,6.1,111,Tur
Uttar Pradesh,Kharif,Black,47,69,85,18.2,55,7.3,82,Peas
Uttarakhand,Zaid,Black,37,27,71,23.7,75,7.1,45,Cauliflower
Andhra Pradesh,Rabi,Sandy,108,31,90,32.9,67,7.5,96,Ragi
Haryana,Zaid,Black,25,20,54,21.2,46,7,230,Ragi
Kerala,Rabi,Alluvial,68,62,43,19.9,35,6.3,61,Tomato
Madhya Pradesh,Rabi,Red,115,42,64,28.3,65,5.6,233,Sugarcane
Himachal Pradesh,Kharif,Black,103,59,47,28.5,36,6.4,243,Ragi
Sikkim,Rabi,Black,63,39,72,26.1,71,7.9,158,Groundnut
Andhra Pradesh,Rabi,Clay,73,56,80,35,55,7,294,Peas
Gujarat,Kharif,Alluvial,73,62,30,21.6,58,7.7,27,Wheat
Madhya Pradesh,Rabi,Loamy,96,68,67,29.6,90,6,262,Peas
Himachal Pradesh,Rabi,Loamy,37,30,32,34.4,67,7.8,29,Soybean
Maharashtra,Kharif,Sandy,114,70,42,19.6,69,7.3,49,Tomato
Uttar Pradesh,Zaid,Red,74,17,90,22.5,34,6.2,187,Brinjal
Nagaland,Kharif,Alluvial,90,29,19,20.3,69,6.3,100,Barley
Odisha,Zaid,Clay,42,41,88,25.5,76,6.7,277,Barley
Arunachal Pradesh,Zaid,Sandy,103,27,90,32.3,81,6.5,60,Bajra
Manipur,Rabi,Sandy,87,60,46,33.2,90,6.4,286,Cotton
Karnataka,Rabi,Sandy,116,12,79,20.9,47,5.9,171,Wheat
Nagaland,Rabi,Black,99,10,85,18.7,77,7.3,41,Peas
Punjab,Rabi,Alluvial,22,68,65,23.8,45,7.1,80,Tomato
Kerala,Zaid,Clay,50,63,50,19.4,70,7.6,237,Ragi
Meghalaya,Rabi,Alluvial,101,32,50,33.2,55,7.7,275,Carrot
Assam,Rabi,Alluvial,37,18,72,23,62,7.9,80,Brinjal
Rajasthan,Zaid,Red,76,77,41,20.9,95,7,288,Tur
Kerala,Zaid,Black,65,60,40,27.4,37,6.3,284,Gram
Nagaland,Zaid,Black,48,12,75,31.2,54,5.7,118,Sugarcane
Odisha,Rabi,Sandy,73,17,39,33,59,7.8,164,Maize
Gujarat,Kharif,Red,101,43,90,33.4,85,7.6,104,Tur
Karnataka,Zaid,Sandy,57,51,41,29.1,76,8,192,Brinjal
Maharashtra,Zaid,Clay,68,68,54,27.9,31,6.3,214,Gram
Telangana,Zaid,Clay,76,13,29,25.4,75,6.8,70,Onion
Punjab,Zaid,Black,40,41,30,27.9,67,5.7,60,Sunflower
Nagaland,Zaid,Alluvial,45,13,44,33.6,88,5.7,133,Chilli
Punjab,Kharif,Clay,105,73,50,27.8,32,7.4,188,Soybean
Bihar,Zaid,Alluvial,83,24,82,25.2,66,7.1,85,Sesame
Gujarat,Zaid,Clay,42,61,20,22.8,41,6.3,85,Cauliflower
West Bengal,Zaid,Clay,111,29,51,24.8,41,6.7,118,Jowar
Jharkhand,Zaid,Loamy,41,45,14,37.9,50,6.6,191,Sugarcane
Punjab,Rabi,Red,34,30,69,20.6,79,7.3,62,Carrot
Tamil Nadu,Kharif,Clay,54,44,63,35.1,83,7.6,237,Barley
Himachal Pradesh,Rabi,Loamy,33,10,28,25.9,78,6.2,102,Chilli
West Bengal,Rabi,Loamy,30,68,65,30.6,66,7,290,Brinjal
West Bengal,Zaid,Loamy,71,47,33,24.5,48,7.5,153,Bajra
Telangana,Rabi,Loamy,39,76,60,18.5,71,6.7,209,Barley
Manipur,Rabi,Red,80,67,42,23.2,86,6.4,172,Cucumber
Manipur,Zaid,Black,78,70,22,34.3,68,7.9,269,Onion
West Bengal,Rabi,Alluvial,56,49,25,34.1,42,6.3,287,Cauliflower
Tamil Nadu,Rabi,Sandy,109,41,39,29.8,65,7,276,Peas
Manipur,Zaid,Black,27,38,35,29.1,94,7.2,62,Groundnut
Uttar Pradesh,Kharif,Black,41,80,14,29.7,63,6.1,141,Gram
Kerala,Rabi,Black,60,38,67,28.9,61,5.8,65,Mustard
Tripura,Kharif,Clay,100,24,41,34.3,67,5.6,162,Peas
Jharkhand,Zaid,Loamy,70,57,66,30.4,74,7.2,56,Groundnut
Jharkhand,Rabi,Clay,91,74,28,20.3,90,7.2,166,Ragi
Bihar,Zaid,Clay,70,59,11,30.3,51,7.2,59,Peas
Kerala,Zaid,Loamy,25,69,15,23.8,81,7.8,167,Tur
Manipur,Zaid,Red,40,43,83,37,58,6.8,169,Cabbage
Uttarakhand,Rabi,Black,65,49,11,21.8,94,7,143,Spinach
West Bengal,Zaid,Sandy,53,60,31,36.7,62,7.5,164,Potato
Jammu and Kashmir,Rabi,Clay,86,77,11,36.4,52,7.2,145,Potato
Andhra Pradesh,Rabi,Clay,117,52,44,20.2,72,6,84,Maize
Tamil Nadu,Kharif,Loamy,45,64,84,32.1,48,7.4,271,Sunflower
Nagaland,Zaid,Clay,79,45,74,31.5,87,7.2,99,Barley
Andhra Pradesh,Zaid,Loamy,116,67,21,35.3,88,8,151,Tur
Andhra Pradesh,Zaid,Alluvial,71,31,80,30.8,89,5.6,172,Mustard
Telangana,Zaid,Alluvial,115,45,20,18.1,39,7.8,91,Sesame
Chhattisgarh,Kharif,Alluvial,112,58,66,18.4,88,6.2,141,Sunflower
Punjab,Kharif,Clay,64,36,29,28.4,45,7.5,273,Mustard
Goa,Zaid,Clay,110,38,47,25.8,70,7.6,207,Jowar
Andhra Pradesh,Rabi,Red,44,10,42,22.5,70,6.9,29,Barley
Maharashtra,Rabi,Sandy,107,52,66,33.8,46,5.5,188,Sunflower
Sikkim,Kharif,Loamy,101,31,24,20.7,52,6,22,Muskmelon
Telangana,Zaid,Sandy,51,78,19,30.3,58,5.9,131,Gram
Bihar,Rabi,Loamy,120,16,42,34.1,78,6.6,252,Cotton
Haryana,Rabi,Clay,34,32,55,20.8,57,6.6,67,Sesame
Jharkhand,Kharif,Loamy,87,38,27,32.1,72,6.6,191,Cotton
Tamil Nadu,Kharif,Loamy,55,49,74,27.9,38,7.2,296,Gram
West Bengal,Kharif,Alluvial,83,57,62,21.8,73,6.4,137,Sunflower
Uttar Pradesh,Zaid,Loamy,44,30,69,36.5,49,7.5,251,Potato
Meghalaya,Rabi,Red,83,58,60,29.1,74,7.7,128,Mustard
Haryana,Rabi,Alluvial,61,52,71,35.6,78,7.8,65,Chilli
Jharkhand,Rabi,Red,109,41,55,23,30,7.9,98,Chilli
Gujarat,Zaid,Black,55,56,46,18.9,56,7.9,31,Sunflower
Punjab,Rabi,Red,92,74,56,38,34,5.8,173,Bajra
Andhra Pradesh,Rabi,Black,56,20,68,19.6,47,5.6,75,Barley
Telangana,Kharif,Sandy,84,25,89,36.2,91,5.7,277,Gram
Madhya Pradesh,Kharif,Black,81,79,80,35.3,50,7.8,69,Watermelon
Jharkhand,Rabi,Loamy,101,36,74,23.7,30,7.2,73,Muskmelon
Andhra Pradesh,Rabi,Clay,58,38,81,32.1,49,6.1,252,Cabbage
Sikkim,Zaid,Alluvial,86,80,75,31.3,39,6.3,195,Ragi
Jharkhand,Zaid,Alluvial,111,51,37,34.4,63,5.6,106,Barley
Tripura,Kharif,Loamy,96,66,14,21,56,7.9,72,Cotton
Sikkim,Rabi,Clay,99,47,73,36.7,32,5.6,65,Chilli
Jammu and Kashmir,Rabi,Clay,110,34,82,33.9,37,5.6,45,Chilli
Madhya Pradesh,Rabi,Sandy,78,28,21,22.6,48,7.4,88,Brinjal
Maharashtra,Rabi,Clay,120,17,70,35.7,30,7.4,215,Groundnut
Maharashtra,Rabi,Alluvial,61,71,36,33.5,41,5.5,215,Onion
Mizoram,Rabi,Red,79,76,30,31.6,51,7.3,49,Coriander
Nagaland,Zaid,Alluvial,47,64,65,36.9,50,6.9,244,Muskmelon
Assam,Zaid,Loamy,48,64,19,36.4,79,6.6,119,Bajra
Tripura,Kharif,Loamy,80,57,30,34.2,94,5.6,264,Spinach
Punjab,Kharif,Red,29,41,84,31.6,47,7,141,Ragi
Manipur,Zaid,Black,39,14,60,27.9,62,7.9,221,Rice
Chhattisgarh,Kharif,Loamy,84,19,85,19.8,64,5.7,78,Potato
Tripura,Kharif,Clay,48,67,16,26.2,58,7.8,125,Onion
Tamil Nadu,Rabi,Red,108,64,23,24.7,91,6.6,102,Cabbage
Telangana,Rabi,Red,28,41,38,21.1,91,6.7,100,Tomato
Mizoram,Zaid,Black,71,30,57,28.8,60,6.5,73,Onion
Delhi,Kharif,Sandy,32,33,75,20.6,43,6.8,85,Cabbage
Uttar Pradesh,Rabi,Loamy,25,60,54,24.7,43,7,218,Chilli
Kerala,Rabi,Loamy,40,53,34,31.1,59,6.9,83,Sunflower
Karnataka,Zaid,Red,22,51,67,18.7,91,6.5,195,Potato
Rajasthan,Rabi,Sandy,60,70,88,29.2,62,7.9,242,Mustard
Arunachal Pradesh,Zaid,Sandy,110,53,39,31.9,46,6.3,34,Onion
Maharashtra,Zaid,Loamy,55,50,10,33.1,67,5.6,243,Cotton
Andhra Pradesh,Kharif,Clay,38,62,15,19.9,69,6.9,28,Tomato
Bihar,Zaid,Sandy,60,64,15,34.1,37,5.6,211,Bajra
Delhi,Zaid,Alluvial,35,15,55,29.5,67,5.6,262,Tomato
Tripura,Kharif,Black,74,76,28,30.8,62,5.8,171,Rice
Meghalaya,Kharif,Sandy,40,55,45,24.1,39,7.9,175,Tomato
Delhi,Rabi,Sandy,64,16,48,29.5,85,6.2,282,Onion
Uttarakhand,Zaid,Sandy,98,14,40,37.8,50,7.6,47,Onion
Karnataka,Kharif,Red,76,12,13,29.8,87,5.5,49,Soybean
Goa,Zaid,Sandy,48,10,48,34.7,64,7.9,184,Chilli
Chhattisgarh,Zaid,Clay,48,66,84,18.6,61,7.6,87,Sugarcane
Sikkim,Zaid,Black,34,48,15,20.1,92,5.8,40,Tomato
Tamil Nadu,Kharif,Loamy,35,21,90,36.8,43,5.7,179,Cotton
Gujarat,Zaid,Clay,55,15,69,32.4,46,7.6,107,Tomato
Goa,Zaid,Clay,117,37,50,33.2,34,7,117,Cauliflower
Mizoram,Rabi,Sandy,72,66,26,21.7,87,7.1,109,Cabbage
West Bengal,Rabi,Red,78,41,67,38,32,6.4,91,Rice
Andhra Pradesh,Zaid,Red,112,68,72,21.2,64,6.6,152,Watermelon
Mizoram,Rabi,Clay,40,43,17,25.1,74,7.5,175,Sesame
Maharashtra,Zaid,Red,118,53,33,29.5,37,7.9,34,Carrot
Mizoram,Rabi,Clay,32,36,58,19,38,6.9,272,Rice
Jammu and Kashmir,Zaid,Clay,103,57,40,26.3,45,6,235,Maize
Haryana,Zaid,Clay,32,68,32,25.1,67,5.7,147,Bajra
Manipur,Rabi,Sandy,117,17,79,32.8,66,5.8,164,Carrot
Jharkhand,Kharif,Red,73,22,54,19.7,34,7.6,74,Mustard
Karnataka,Kharif,Alluvial,39,50,54,34.5,51,6,287,Watermelon
Goa,Rabi,Sandy,89,78,74,28.5,91,6.6,159,Rice
Nagaland,Zaid,Sandy,56,54,52,18.2,93,8,183,Jowar
Jharkhand,Zaid,Alluvial,111,48,52,36.6,70,5.9,219,Cauliflower
Jammu and Kashmir,Kharif,Black,111,26,88,36.9,69,7.8,280,Coriander
Tamil Nadu,Rabi,Loamy,66,43,70,23.4,39,7.4,232,Muskmelon
Sikkim,Rabi,Red,99,18,72,32.8,78,6.1,179,Jowar
Tripura,Zaid,Clay,21,75,52,36.3,49,5.9,222,Brinjal
Telangana,Rabi,Red,20,19,70,23.4,35,6,67,Tur
Haryana,Kharif,Alluvial,46,32,70,35.5,38,6.6,283,Jowar
Telangana,Kharif,Black,93,23,26,20.9,76,7.2,127,Onion
Tripura,Kharif,Loamy,67,24,80,27.6,42,6,289,Spinach
Arunachal Pradesh,Rabi,Sandy,55,25,14,25.8,67,7.2,53,Bajra
Haryana,Zaid,Loamy,119,12,75,32.5,95,7.7,294,Tomato
West Bengal,Kharif,Loamy,102,80,46,38,48,6.4,125,Tur
Maharashtra,Kharif,Black,48,38,19,20.3,51,7.1,158,Sesame
Gujarat,Rabi,Red,89,32,70,30.4,90,6.6,292,Coriander
Himachal Pradesh,Kharif,Alluvial,24,63,69,35.5,67,6.9,156,Potato
Goa,Rabi,Loamy,74,17,71,25.4,54,7.1,179,Potato
Kerala,Rabi,Red,88,72,24,22.4,60,5.7,284,Cauliflower
Arunachal Pradesh,Rabi,Sandy,105,71,57,21.6,95,6.6,128,Watermelon
Delhi,Rabi,Clay,83,33,77,19.7,58,6.5,171,Cotton
Rajasthan,Zaid,Red,114,25,51,18.5,61,7.5,194,Peas
Meghalaya,Kharif,Red,39,62,31,19.5,60,6.9,269,Cabbage
Arunachal Pradesh,Rabi,Black,42,27,75,19.7,61,5.9,167,Cauliflower
Bihar,Rabi,Alluvial,41,15,83,31.6,59,7.2,275,Carrot
Mizoram,Zaid,Clay,99,47,71,27.5,69,7.3,183,Cauliflower
Odisha,Rabi,Sandy,92,52,58,31.9,89,6.5,120,Sesame
Madhya Pradesh,Zaid,Red,106,40,39,32.3,61,6.5,217,Maize
Uttarakhand,Zaid,Sandy,99,19,59,25.5,39,7.4,177,Onion
Punjab,Rabi,Clay,117,17,48,20.6,37,7.5,149,Ragi
Tamil Nadu,Kharif,Clay,21,51,34,28.9,94,7.5,165,Rice
West Bengal,Zaid,Black,86,44,31,23.6,61,6.1,274,Sunflower
Arunachal Pradesh,Rabi,Black,38,25,65,32.3,55,5.6,196,Spinach
Punjab,Zaid,Sandy,106,25,72,18.1,53,7.6,277,Gram
Arunachal Pradesh,Zaid,Sandy,65,79,30,37,38,7.6,234,Spinach
West Bengal,Zaid,Red,51,23,46,21.6,30,6.3,159,Muskmelon
Chhattisgarh,Zaid,Red,43,59,79,27,83,7.3,276,Soybean
Assam,Zaid,Loamy,89,70,36,37.8,88,7,224,Potato
Jharkhand,Rabi,Red,109,10,73,20.7,50,7.8,170,Soybean
Nagaland,Rabi,Sandy,88,62,73,23.3,90,6.3,37,Mustard
Madhya Pradesh,Zaid,Black,26,76,39,31.7,63,6.4,55,Jowar
Sikkim,Zaid,Black,41,24,44,23,50,6.1,251,Muskmelon
West Bengal,Rabi,Black,44,69,41,34.6,55,6.7,281,Brinjal
Manipur,Kharif,Loamy,46,72,82,29,40,5.5,30,Sunflower
Tripura,Kharif,Sandy,20,34,25,30.4,32,7.6,142,Mustard
Rajasthan,Rabi,Black,73,23,13,35,93,6.2,206,Carrot
Kerala,Rabi,Sandy,110,76,76,24.7,39,6.3,296,Sunflower
Tamil Nadu,Zaid,Alluvial,107,62,32,32.5,79,7.1,266,Coriander
Uttarakhand,Kharif,Black,25,52,32,24.2,32,5.8,181,Cotton
Bihar,Kharif,Black,32,78,33,33.8,44,7.5,286,Rice
Tripura,Kharif,Sandy,119,57,75,23.5,86,5.7,24,Soybean
Arunachal Pradesh,Rabi,Clay,92,48,75,21.8,59,6.8,210,Rice
Karnataka,Rabi,Loamy,61,50,31,35,31,6.5,291,Cotton
Jammu and Kashmir,Kharif,Sandy,114,19,23,27.1,84,7.5,273,Barley
Uttar Pradesh,Zaid,Sandy,63,66,70,19.5,79,6.5,65,Peas
Karnataka,Zaid,Black,87,70,81,33.3,66,7.7,73,Potato
Tamil Nadu,Kharif,Sandy,63,54,78,29.4,40,7.9,142,Carrot
Jammu and Kashmir,Kharif,Red,114,10,69,32.5,84,7,26,Wheat
Himachal Pradesh,Rabi,Loamy,47,65,31,24.2,95,5.7,295,Tur
Odisha,Kharif,Alluvial,70,44,80,36.1,94,7.3,121,Rice
Telangana,Kharif,Clay,110,21,32,21.9,33,7.9,242,Peas
Tamil Nadu,Rabi,Red,67,78,27,38,83,7.3,120,Jowar
Tamil Nadu,Rabi,Clay,25,55,35,20.5,82,6.5,262,Sesame
Assam,Kharif,Loamy,23,27,79,36.2,36,5.5,299,Wheat
Manipur,Zaid,Loamy,68,78,49,19.7,51,7.7,129,Watermelon
Odisha,Rabi,Sandy,115,18,14,19.4,37,6.3,60,Peas
Haryana,Zaid,Sandy,106,28,10,30.9,81,5.5,80,Maize
Goa,Zaid,Alluvial,64,58,10,29.1,93,7.9,86,Spinach
Punjab,Kharif,Sandy,95,48,59,34.4,33,6.5,221,Onion
Jharkhand,Rabi,Alluvial,36,36,26,27.1,53,6.1,229,Cabbage
Jharkhand,Zaid,Sandy,25,10,60,20.7,95,6.9,260,Onion
Odisha,Kharif,Loamy,72,47,32,29.4,69,5.7,86,Maize
Delhi,Zaid,Loamy,109,44,42,36.2,75,7.3,176,Carrot
Karnataka,Kharif,Black,64,50,75,26.9,88,7.2,284,Potato
Himachal Pradesh,Kharif,Sandy,88,65,46,26.7,35,6.5,101,Watermelon
